patha,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
path0,N0,0.0007525064,0.0011129577,-0.13779712,0.0016281059,-0.05784837,-0.0032403935,-0.00070758275,-0.015066207,0.0019078702,0.00043910794,0.0047452394,0.0012578827,0.00038202998,0.0011557317,0.0007068434,-0.047838602,0.00066186435,-0.052464746,0.0012472984,0.00912196,-0.0034417214,0.000837932,-0.024108043,0.0014077931,-0.017265446
path1,N1,-3.0293782e-05,3.3654545e-05,0.0005826686,3.5228826e-05,3.9481936e-05,-8.8705485e-05,3.5063844e-05,3.827308e-05,1.5862173e-05,1.4634514e-05,-2.1675605e-06,1.5882084e-05,1.7621904e-05,3.9849252e-05,3.0000878e-05,0.00011572857,-1.1684544e-05,2.9130972e-05,-2.3876855e-05,4.4110253e-05,7.7041506e-05,2.4286652e-05,0.0,-1.1920112e-05,-0.00083175185
path2,N2,-0.0006943296,-0.0015282633,-0.33993608,0.0,-0.03799572,0.0,0.0,-0.16446784,0.0,0.0,-0.28705966,-0.009442527,0.0,-4.5674093e-05,0.0,-0.051493775,0.0,-0.028597679,-0.0044405675,-0.06987426,-0.0010398492,-3.5895544e-05,0.0,-0.00010498589,-0.014952251
path3,N3,0.0,-0.006971889,-0.035141513,0.0,0.0,-0.00047710788,-1.2975332e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018936751,0.0,0.0,0.0,-0.04516706,-0.0064540817,0.0,-0.0035708318,0.0,0.0,0.0,0.0
path4,N4,0.004446072,0.0104299905,-0.33450133,-0.004922839,-0.015377303,0.0039843093,0.0038570266,-0.05744641,0.0014258918,0.0012752892,-0.23195544,0.009271142,0.00036117743,-0.001076287,0.0014709472,-0.2817142,0.005412626,-0.10464372,-0.012530635,-0.11038332,-0.004313086,0.002611758,0.0024604471,-0.004123574,-0.050342068
path5,N5,0.0010373928,-0.0029845946,0.2385739,0.0054757856,0.011987499,0.0027572196,0.0020851651,-0.02731635,0.00039912725,0.0003984006,-0.077503406,-0.0020283507,-0.0007967807,0.0021652454,-0.0023990378,-0.16059078,-0.0007456852,0.0058989115,0.006934544,-0.046292618,0.011042498,0.0016674807,0.0055779414,0.004052035,0.0066571124
